procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 6498532  40504 959044    0    0     4    53    3   28  0  0 100  0  0
 0  0      0 6490524  40504 959240    0    0     0     0  321  951  0  0 100  0  0
 0  0      0 6502596  40504 959240    0    0     0     0  125  346 29  0 71  0  0
 4  0      0 6502596  40504 959240    0    0     0     0  212  533 33  0 67  0  0
 4  0      0 6502596  40504 959240    0    0     0     0  118  328 33  0 67  0  0
 4  1      0 6502596  40508 959236    0    0     0   108  121  317 33  0 67  0  0
 4  0      0 6502596  40512 959232    0    0     0     4  130  348 33  1 66  0  0
 4  0      0 6502596  40512 959240    0    0     0     0  121  333 33  0 67  0  0
 4  0      0 6500568  40512 959240    0    0     0     0  129  339 33  0 67  0  0
 4  0      0 6500568  40512 959240    0    0     0     0  121  307 33  0 67  0  0
 0  0      0 6500568  40512 959240    0    0     0     0  102  313 29  0 71  0  0
 0  0      0 6501072  40520 959164    0    0     0    20   41  374  0  0 100  0  0
 0  0      0 6501072  40520 959172    0    0     0     0   12  276  0  0 100  0  0
 0  0      0 6501072  40520 959172    0    0     0     0    8  265  0  0 100  0  0
 0  0      0 6501072  40520 959172    0    0     0     0    9  264  0  0 100  0  0
